Date,Open,High,Low,Close
2024-03-01,185.4900,188.3800,185.1800,188.2000
2024-03-04,187.7600,193.8980,187.6000,193.0600
2024-03-05,192.0000,193.9400,190.5700,191.9500
2024-03-06,193.5000,198.1300,192.9600,196.1600
2024-03-07,197.5800,198.7300,196.1400,196.5400
2024-03-08,196.0600,197.7700,194.3800,195.9500
2024-03-11,195.0900,195.3800,190.8800,191.7300
2024-03-12,192.4600,199.1800,192.1500,197.7800
2024-03-13,197.5500,198.1000,195.3200,196.7000
2024-03-14,196.9500,197.7480,192.1200,193.4300
2024-03-15,191.9900,193.0573,190.7000,191.0700
2024-03-18,191.7000,193.2300,190.3200,191.6900
2024-03-19,191.4900,193.5800,190.2800,193.3400
2024-03-20,192.8700,193.9800,191.3100,193.9600
2024-03-21,193.0000,193.3700,190.0100,191.9000
2024-03-22,192.0000,192.9850,190.5100,190.8400
2024-03-25,190.2600,190.8200,188.7500,188.7900
2024-03-26,189.0200,190.0000,188.5000,188.5000
2024-03-27,189.6000,190.9600,188.6000,190.8000
2024-03-28,190.9400,191.9299,190.3400,190.9600
2024-04-01,190.0000,190.4600,188.5200,189.8300
2024-04-02,189.1400,189.8000,187.6000,188.8800
2024-04-03,188.6000,191.3500,188.4850,190.9000
2024-04-04,192.0000,193.2800,187.3400,187.9400
2024-04-05,188.5900,190.3200,188.0200,189.1400
2024-04-08,189.2400,190.2400,188.9118,189.8200
2024-04-09,190.5400,191.2500,186.6600,189.3100
2024-04-10,187.4200,187.9150,185.5200,186.0400
2024-04-11,186.0400,186.7950,184.5800,185.9000
2024-04-12,184.0000,185.1699,181.6850,182.2700
2024-04-15,185.5700,187.4800,180.8800,181.2500
2024-04-16,185.5900,185.7100,182.8600,183.7500
2024-04-17,184.1600,184.6700,181.7800,183.1000
2024-04-18,182.3500,183.4600,180.1700,181.4700
2024-04-19,182.4300,182.8000,180.5700,181.5800
2024-04-22,182.4500,183.3150,180.4500,181.9000
2024-04-23,182.7300,184.6800,179.0000,182.1900
2024-04-24,183.1700,184.2900,181.4000,184.1000
2024-04-25,168.2000,172.4500,165.6600,168.9100
2024-04-26,167.5000,167.8700,165.7300,167.1300
2024-04-29,167.4000,168.2200,166.2250,167.4300
2024-04-30,166.4900,166.7600,165.2605,166.2000
2024-05-01,165.6900,166.2700,164.3000,164.4300
2024-05-02,164.3500,164.8800,162.6200,164.6900
2024-05-03,165.0000,166.6100,164.9200,165.7100
2024-05-06,166.5000,168.6700,166.3800,168.6100
2024-05-07,169.0000,169.2900,167.9400,168.3800
2024-05-08,168.0100,170.2600,167.9000,169.9000
2024-05-09,167.5000,167.5500,165.8800,166.2700
2024-05-10,167.1300,168.0700,166.3200,167.1500
2024-05-13,167.5000,168.0600,166.7600,167.5600
2024-05-14,167.8600,168.1300,166.4800,167.3600
2024-05-15,167.9400,168.3500,167.3400,168.2600
2024-05-16,168.2600,169.6300,167.7900,168.9700
2024-05-17,168.9700,169.1100,167.3300,169.0300
2024-05-20,169.0000,170.1600,168.3800,169.9200
2024-05-21,169.9400,174.9700,169.9400,173.4700
2024-05-22,173.3900,174.9900,172.7600,173.6900
2024-05-23,175.3900,175.4600,170.4350,170.6700
2024-05-24,171.4800,172.0100,170.2100,170.8900
2024-05-28,170.4400,171.0850,168.6500,169.6600
2024-05-29,168.0000,168.6300,166.2100,167.0500
2024-05-30,165.5600,166.7300,164.2300,165.6300
2024-05-31,165.7000,166.9700,163.8400,166.8500
2024-06-03,166.5400,166.7800,163.5300,165.2800
2024-06-04,164.6000,166.4000,163.8800,165.8100
2024-06-05,166.4100,167.7900,165.7800,167.3800
2024-06-06,167.3800,168.4400,166.8000,168.2000
2024-06-07,168.1800,171.3050,168.0600,170.0100
2024-06-10,169.5500,170.7600,168.8800,170.3800
2024-06-11,169.9800,170.0000,166.8100,169.3200
2024-06-12,171.3500,172.4700,168.1010,169.0000
2024-06-13,169.0100,169.5900,168.3350,169.1200
2024-06-14,168.2900,169.4700,167.2300,169.2100
2024-06-17,168.7600,169.7200,167.5000,169.5000
2024-06-18,170.0000,170.7500,168.3800,170.5500
2024-06-20,174.0800,174.2800,171.2200,173.9200
2024-06-21,173.9700,174.9600,171.4000,172.4600
2024-06-24,175.0000,178.4599,174.1500,175.0100
2024-06-25,175.1400,175.7526,171.4200,172.6000
2024-06-26,171.2800,172.6800,170.4100,171.8700
2024-06-27,171.1200,172.5000,170.4800,170.8500
2024-06-28,170.8500,173.4600,170.5300,172.9500
2024-07-01,173.4500,176.4600,173.3800,175.1000
2024-07-02,174.8400,177.4850,174.3200,177.3000
2024-07-03,177.8800,177.9800,175.1700,175.7300
2024-07-05,175.7400,176.0900,173.9500,176.0200
2024-07-08,176.4100,178.5900,176.0100,177.6400
2024-07-09,177.6000,177.7000,175.5800,176.4800
2024-07-10,176.6000,178.2200,174.4500,177.8400
